id,movieinfo_id,actor_id
11258,1974,80
11259,1974,471
11260,1975,428
11261,1975,259
11262,1975,467
11263,1975,7
11264,1975,53
11265,1975,906
11266,1976,133
11267,1976,471
11268,1976,535
11269,1976,2218
11270,1976,80
11271,1976,519
11272,1977,88
11273,1977,784
11274,1977,577
11275,1977,2030
11276,1977,585
11277,1977,2228
11278,1978,404
11279,1978,8
11280,1978,14
11281,1978,204
11282,1978,125
11283,1978,101
11284,1979,341
11285,1979,769
11286,1979,615
11287,1979,455
11288,1979,603
11289,1980,2090
11290,1980,2229
11291,1980,1492
11292,1980,2230
11293,1980,2231
11294,1980,2232
11295,1981,2233
11296,1981,808
11297,1981,73
11298,1981,508
11299,1981,418
11300,1981,2234
11301,1982,12
11302,1982,412
11303,1982,2235
11304,1982,103
11305,1982,503
11306,1982,714
11307,1983,1063
11308,1983,249
11309,1983,88
11310,1983,489
11311,1983,292
11312,1983,439
11313,1984,683
11314,1984,1897
11315,1984,2236
11316,1984,258
11317,1984,40
11318,1984,1092
11319,1985,27
11320,1985,429
11321,1985,2
11322,1985,63
11323,1985,1093
11324,1986,1063
11325,1986,249
11326,1986,485
11327,1986,55
11328,1986,244
11329,1986,84
11330,1987,57
11331,1987,451
11332,1987,797
11333,1988,247
11334,1988,35
11335,1988,2237
11336,1988,2238
11337,1988,2235
11338,1988,2147
11339,1989,1362
11340,1989,2167
11341,1989,2235
11342,1989,134
11343,1989,784
11344,1989,2239
11345,1990,37
11346,1990,2240
11347,1990,132
11348,1990,80
11349,1990,2210
11350,1990,543
11351,1991,2241
11352,1991,73
11353,1991,153
11354,1991,115
11355,1991,558
11356,1991,375
11357,1992,471
11358,1992,244
11359,1992,2167
11360,1992,2209
11361,1992,478
11362,1992,426
11363,1993,1
11364,1993,249
11365,1993,312
11366,1993,114
11367,1993,5
11368,1993,27
11369,1994,107
11370,1994,278
11371,1994,52
11372,1994,535
11373,1994,539
11374,1994,5
11375,1995,2242
11376,1995,496
11377,1995,195
11378,1995,2060
11379,1995,2243
11380,1996,905
11381,1996,838
11382,1996,340
11383,1996,123
11384,1996,1190
11385,1996,89
11386,1997,88
11387,1997,86
11388,1997,37
11389,1997,61
11390,1997,5
11391,1997,2244
11392,1998,52
11393,1998,244
11394,1998,846
11395,1998,579
11396,1998,2245
11397,1998,629
11398,1999,83
11399,1999,45
11400,1999,686
11401,1999,1093
11402,1999,2203
11403,2000,563
11404,2000,848
11405,2000,676
11406,2000,206
11407,2000,557
11408,2000,2246
11409,2001,784
11410,2001,2176
11411,2001,2214
11412,2001,2247
11413,2001,326
11414,2001,528
11415,2002,866
11416,2002,477
11417,2002,56
11418,2002,997
11419,2002,2248
11420,2002,2017
11421,2003,21
11422,2003,371
11423,2003,9
